step,sample,layer,op,in_shape,out_shape,in_level,in_noise,in_deg2,in_slots,out_level,out_noise,out_deg2,out_slots,pooled_mb,in_use_mb,driver_free_mb,elapsed_ms
296,5,0,Boot_V,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13816.5,17606.5,12
297,5,0,CCMM_QKT1,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13816.5,17606.5,17
298,5,0,CCMM_QKT2,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13816.5,17606.5,17
299,5,0,Boot_QKT1_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13820,17606.5,13
300,5,0,Softmax_QKT1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13812,17606.5,325
301,5,0,Boot_QKT2_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13820,17606.5,13
302,5,0,Softmax_QKT2,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13812,17606.5,330
303,5,0,CCMM_Sm_V1,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13812,17606.5,18
304,5,0,CCMM_Sm_V2,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13812,17606.5,17
305,5,0,Boot_Sm_V,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13832.5,17606.5,12
306,5,0,PCMM_Output,1x1,1x1,4,1,0,16384,1,1,0,16384,14365,13832.5,17606.5,12
307,5,0,Residual_Add1,1x1,1x1,1,1,0,16384,1,1,0,16384,14365,13832.5,17606.5,0
308,5,0,Boot_Residual1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13832.5,17606.5,12
309,5,0,LayerNorm1,1x1,1x1,2,2,0,16384,2,2,0,16384,14365,13816.5,17606.5,56
310,5,0,Boot_LN1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13832.5,17606.5,12
311,5,0,PCMM_Up,1x1,1x4,4,1,0,16384,1,1,0,16384,14365,13832.5,17606.5,63
312,5,0,Boot_pre_GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,14365,13832.5,17606.5,82
313,5,0,GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,14365,13832.5,17606.5,168
314,5,0,PCMM_Down,1x4,1x1,4,1,0,16384,1,1,0,16384,14365,13832.5,17606.5,123
315,5,0,Residual_Add2,1x1,1x1,1,1,0,16384,1,1,0,16384,14365,13832.5,17606.5,0
316,5,0,Boot_pre_LN2,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13833.5,17606.5,12
317,5,0,LayerNorm2,1x1,1x1,2,2,0,16384,2,2,0,16384,14365,13817.5,17606.5,67
318,5,0,Boot_LN2_final,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13833.5,17606.5,12
319,5,1,dropLevel_tokens,1x1,1x1,4,1,0,16384,4,1,0,16384,14365,13826.5,17606.5,0
320,5,1,PCMM_K,1x1,1x1,4,1,0,16384,1,1,0,16384,14365,13826.5,17606.5,12
321,5,1,PCMM_Q,1x1,1x1,4,1,0,16384,1,1,0,16384,14365,13826.5,17606.5,11
322,5,1,PCMM_V,1x1,1x1,4,1,0,16384,1,1,0,16384,14365,13826.5,17606.5,11
323,5,1,Boot_Q,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13826.5,17606.5,12
324,5,1,Boot_K,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13826.5,17606.5,12
325,5,1,Boot_V,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13826.5,17606.5,12
326,5,1,CCMM_QKT1,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13826.5,17606.5,18
327,5,1,CCMM_QKT2,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13826.5,17606.5,18
328,5,1,Boot_QKT1_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13831,17606.5,13
329,5,1,Softmax_QKT1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13823,17606.5,320
330,5,1,Boot_QKT2_pre_softmax,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13832,17606.5,13
331,5,1,Softmax_QKT2,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13824,17606.5,321
332,5,1,CCMM_Sm_V1,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13824,17606.5,17
333,5,1,CCMM_Sm_V2,1x1,1x1,5,2,0,16384,2,2,0,16384,14365,13824,17606.5,17
334,5,1,Boot_Sm_V,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13835.5,17606.5,12
335,5,1,PCMM_Output,1x1,1x1,4,1,0,16384,1,1,0,16384,14365,13835.5,17606.5,12
336,5,1,Residual_Add1,1x1,1x1,1,1,0,16384,1,1,0,16384,14365,13835.5,17606.5,0
337,5,1,Boot_Residual1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13835.5,17606.5,12
338,5,1,LayerNorm1,1x1,1x1,2,2,0,16384,2,2,0,16384,14365,13819.5,17606.5,60
339,5,1,Boot_LN1,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13835.5,17606.5,13
340,5,1,PCMM_Up,1x1,1x4,4,1,0,16384,1,1,0,16384,14365,13835.5,17606.5,71
341,5,1,Boot_pre_GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,14365,13835.5,17606.5,79
342,5,1,GELU,1x4,1x4,9,2,0,16384,9,2,0,16384,14365,13835.5,17606.5,172
343,5,1,PCMM_Down,1x4,1x1,4,1,0,16384,1,1,0,16384,14365,13835.5,17606.5,78
344,5,1,Residual_Add2,1x1,1x1,1,1,0,16384,1,1,0,16384,14365,13835.5,17606.5,0
345,5,1,Boot_pre_LN2,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13836.5,17606.5,12
346,5,1,LayerNorm2,1x1,1x1,2,2,0,16384,2,2,0,16384,14365,13820.5,17606.5,53
347,5,1,Boot_LN2_final,1x1,1x1,9,2,0,16384,9,2,0,16384,14365,13836.5,17606.5,12
